	e100	e101	e102	e103	e104	e105	e106	e107	e108	e109	e110	e111	e112	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97	e98	e99
e75	0.905	0.9175	0.893	0.90975	0.937	0.9255	0.92875	0.948	0.961	0.96625	0.937	0.95525	0.945	0.62575	0.75325	0.512	0.59475	0.619	0.62275	0.47875	0.49375	0.54525	0.41425	0.42525	0.0	0.52475	0.56025	0.59	0.56375	0.67325	0.761	0.64925	0.6445	0.6855	0.699	0.62375	0.68975	0.77625	0.7635	0.70525	0.69975	0.68475	0.65	0.82225	0.62875	0.62675	0.67275	0.89425	0.9025
e76	0.86725	0.90075	0.859	0.901	0.926	0.9055	0.92225	0.92975	0.9435	0.953	0.91425	0.9565	0.942	0.6015	0.754	0.46925	0.58225	0.656	0.71125	0.5675	0.622	0.63825	0.4885	0.5355	0.52475	0.0	0.46775	0.55425	0.6195	0.7195	0.70375	0.6365	0.73925	0.65775	0.67175	0.70025	0.72225	0.768	0.70975	0.743	0.712	0.7265	0.65875	0.7895	0.63975	0.6525	0.64125	0.8575	0.86625
e77	0.889	0.91125	0.87875	0.92625	0.9105	0.8935	0.9105	0.92725	0.9275	0.93275	0.904	0.92325	0.91525	0.624	0.75825	0.49175	0.508	0.57325	0.60425	0.574	0.578	0.6345	0.601	0.555	0.56025	0.46775	0.0	0.565	0.53625	0.6405	0.72475	0.54275	0.65875	0.68425	0.6175	0.61125	0.611	0.741	0.656	0.61275	0.6495	0.681	0.555	0.67175	0.6295	0.5465	0.57625	0.8895	0.896
e78	0.8645	0.89675	0.8565	0.869	0.85925	0.84275	0.8955	0.867	0.91875	0.931	0.85625	0.9105	0.89875	0.5475	0.66675	0.56	0.5825	0.676	0.64125	0.6085	0.62375	0.597	0.6185	0.61925	0.59	0.55425	0.565	0.0	0.64175	0.612	0.81425	0.68725	0.72325	0.683	0.7335	0.71025	0.74075	0.64325	0.77	0.74925	0.631	0.769	0.61825	0.735	0.72	0.69475	0.5475	0.8145	0.85925
e79	0.90575	0.92525	0.9	0.94325	0.88725	0.8715	0.89725	0.9185	0.9215	0.92	0.87125	0.88825	0.8915	0.71	0.8035	0.61175	0.58125	0.487	0.565	0.6395	0.6085	0.663	0.61475	0.60625	0.56375	0.6195	0.53625	0.64175	0.0	0.601	0.71725	0.4925	0.5255	0.71425	0.5925	0.51875	0.581	0.784	0.634	0.5725	0.6195	0.6715	0.607	0.65875	0.54	0.52575	0.596	0.90075	0.918
e80	0.90575	0.938	0.906	0.9335	0.93425	0.91575	0.90875	0.954	0.94	0.94325	0.91825	0.92975	0.91775	0.58475	0.5585	0.6865	0.64825	0.63375	0.56	0.6715	0.636	0.59075	0.7045	0.6775	0.67325	0.7195	0.6405	0.612	0.601	0.0	0.849	0.613	0.628	0.72775	0.67125	0.58575	0.6045	0.57375	0.7285	0.64775	0.644	0.6865	0.57925	0.6735	0.673	0.62	0.56125	0.89075	0.90875
e81	0.87025	0.86175	0.863	0.9515	0.94075	0.9445	0.9625	0.95125	0.9725	0.96775	0.937	0.95875	0.9505	0.814	0.8775	0.718	0.669	0.7265	0.8315	0.751	0.77425	0.81525	0.71725	0.69875	0.761	0.70375	0.72475	0.81425	0.71725	0.849	0.0	0.65275	0.7815	0.7155	0.6725	0.74725	0.798	0.9005	0.6905	0.80925	0.7915	0.73575	0.74725	0.8345	0.613	0.66025	0.73875	0.89675	0.88625
e82	0.875	0.89225	0.859	0.94225	0.905	0.89075	0.8955	0.91625	0.92275	0.9255	0.8785	0.89775	0.89475	0.76225	0.85	0.611	0.576	0.51725	0.56675	0.672	0.66225	0.7295	0.65875	0.605	0.64925	0.6365	0.54275	0.68725	0.4925	0.613	0.65275	0.0	0.513	0.70775	0.47325	0.5255	0.52775	0.788	0.555	0.55625	0.6275	0.6575	0.51425	0.5925	0.538	0.453	0.5295	0.8995	0.89875
e83	0.92625	0.9385	0.917	0.967	0.92575	0.9135	0.91075	0.95125	0.93375	0.93525	0.91325	0.91	0.9115	0.7595	0.8085	0.697	0.64375	0.54725	0.5785	0.707	0.661	0.70725	0.7205	0.67625	0.6445	0.73925	0.65875	0.72325	0.5255	0.628	0.7815	0.513	0.0	0.726	0.493	0.44325	0.5845	0.7685	0.66475	0.58975	0.6225	0.67075	0.5975	0.58225	0.59275	0.5675	0.59825	0.9265	0.95025
e84	0.88	0.912	0.89075	0.9215	0.95275	0.94	0.93325	0.9575	0.9615	0.97025	0.94	0.96025	0.95325	0.59175	0.55975	0.6925	0.711	0.76775	0.82175	0.509	0.56025	0.55	0.63475	0.54425	0.6855	0.65775	0.68425	0.683	0.71425	0.72775	0.7155	0.70775	0.726	0.0	0.6995	0.7	0.71625	0.65475	0.774	0.8165	0.70425	0.51325	0.75625	0.8085	0.68675	0.72825	0.64975	0.85225	0.899
e85	0.9095	0.91825	0.90125	0.95225	0.93	0.9235	0.93775	0.952	0.9525	0.9515	0.923	0.92875	0.9345	0.77	0.81975	0.65475	0.572	0.54075	0.5765	0.7425	0.72	0.771	0.73	0.68475	0.699	0.67175	0.6175	0.7335	0.5925	0.67125	0.6725	0.47325	0.493	0.6995	0.0	0.53325	0.5355	0.763	0.551	0.56625	0.69225	0.6555	0.5285	0.59575	0.574	0.51775	0.5545	0.90075	0.91525
e86	0.90725	0.91225	0.89275	0.9575	0.945	0.9355	0.926	0.95625	0.95675	0.95575	0.93725	0.936	0.9375	0.70875	0.78125	0.67075	0.64575	0.54775	0.54875	0.659	0.64375	0.657	0.67275	0.636	0.62375	0.70025	0.61125	0.71025	0.51875	0.58575	0.74725	0.5255	0.44325	0.7	0.53325	0.0	0.55875	0.74975	0.66275	0.56875	0.649	0.62675	0.564	0.6165	0.575	0.5265	0.55725	0.9125	0.9205
e87	0.92725	0.93575	0.93525	0.97125	0.951	0.94125	0.9345	0.973	0.96225	0.96	0.9435	0.94875	0.9475	0.753	0.802	0.68875	0.649	0.56125	0.568	0.697	0.66025	0.71275	0.722	0.64025	0.68975	0.72225	0.611	0.74075	0.581	0.6045	0.798	0.52775	0.5845	0.71625	0.5355	0.55875	0.0	0.74575	0.55075	0.49475	0.638	0.65575	0.56325	0.552	0.6355	0.5655	0.57225	0.92875	0.94225
