bacteria_phylum	bacteria_class	bacteria_order	bacteria_family	bacteria_genus	bacteria_species	bacteria_asv	fungi_phylum	fungi_class	fungi_order	fungi_family	fungi_genus	fungi_species	fungi_asv
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Unclassified;D_6__Unclassified;ASV_18d8b661bdd8f26c0eab63f748438640	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas;D_6__Unclassified;ASV_529e78b60f57f4a19d47ec39ac004855	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Hymenobacteraceae;D_5__Hymenobacter;D_6__Unclassified;ASV_da67c1f24650a26757bf4494fa055072	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Haliangiaceae;D_5__Haliangium;D_6__Unclassified;ASV_8ad2cf2824a5eca64bb76f4ab6a41d0b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Luteolibacter;D_6__Unclassified;ASV_e6f9538a5ef06b6a44fa24077b2aa6bf	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales;D_4__Parachlamydiaceae;D_5__Unclassified;D_6__Unclassified;ASV_30465e6756bb23ee11fd91ca77a24800	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Nakamurellaceae;D_5__Nakamurella;D_6__Unclassified;ASV_bcf5f3716573f169df16faa5d47b1db1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__IMCC26256;D_4__Unclassified;D_5__Unclassified;D_6__Unclassified;ASV_104d94e885682568352b3dc7fb6be1c8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Flavobacterium;D_6__Unclassified;ASV_d29d5356003e92bb1596321032d5514b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Phenylobacterium;D_6__Unclassified;ASV_5d8420356d92001363ba5454145f49af	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales;D_4__Roseiflexaceae;D_5__Unclassified;D_6__Unclassified;ASV_d9159b305c2bae9f92035e90f01e81aa	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Verrucomicrobiaceae;D_5__Roseimicrobium;D_6__Unclassified;ASV_61dfb35085781d7a6b814c080e374feb	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae;D_5__Steroidobacter;D_6__Unclassified;ASV_a35dcd4a289a3a3d0914e32e7614edfe	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Unclassified;D_4__Unclassified;D_5__Unclassified;D_6__Unclassified;ASV_299ddaa5278ed8c6ffb5426c1bcdeaa1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__Unclassified;D_5__Unclassified;D_6__Unclassified;ASV_f479b57bd1821f28fc913d0d7521f842	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Sandaracinaceae;D_5__Unclassified;D_6__Unclassified;ASV_474ba0bd07ab0f001484bfce41329dc1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__A0839;D_5__Unclassified;D_6__Unclassified;ASV_35abdf724dd1128e6e5c072beff29ee5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Chthoniobacteraceae;D_5__Chthoniobacter;D_6__Unclassified;ASV_fa7cc72db7ce0ba8dd8b81885786fdf5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Mucilaginibacter;D_6__Unclassified;ASV_1a95179a936f27a28436c34bff774f52	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Mesorhizobium;D_6__Unclassified;ASV_ea06da3a268e310a833239caa55b57ae	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__Unclassified;D_5__Unclassified;D_6__Unclassified;ASV_b635732e9d0851524ca14ceb9615543b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae;D_5__Agromyces;D_6__Unclassified;ASV_94a971764e48e2639cab580a55184472	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Spirosomaceae;D_5__Dyadobacter;D_6__Unclassified;ASV_c1279733d5453ddf68d02906b1445328	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__Bradyrhizobium;D_6__Unclassified;ASV_3d4450e57678dc6062112f41b36d0ceb	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales;D_4__Nitrospiraceae;D_5__Nitrospira;D_6__Unclassified;ASV_d39afa2250ea6eae13a9a40fb93064be	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Spirosomaceae;D_5__Dyadobacter;D_6__Unclassified;ASV_84a171c3c730fd08aabf7d4781692e50	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__env.OPS 17;D_5__Unclassified;D_6__Unclassified;ASV_197c1431cdbd6863b5ed6901de725cce	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17;D_3__Unclassified;D_4__Unclassified;D_5__Unclassified;D_6__Unclassified;ASV_1b7b78104429c21014d1c868cafe6307	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Unclassified;D_6__Unclassified;ASV_3795aec76af25b83278fddc0f5ed356f	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Spongiibacteraceae;D_5__BD1-7 clade;D_6__Unclassified;ASV_e18d7f22c1f170045036144cb9c13b25	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Pedobacter;D_6__Unclassified;ASV_e41941faa340ec4e1cd7cf76a1954742	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__Afipia;D_6__Unclassified;ASV_4b7c8d6dc86cbcd0c1bb72acde574ee6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales;D_4__Streptomycetaceae;D_5__Streptomyces;D_6__Unclassified;ASV_255ceccb51f34d501fc63db74ba31978	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Variovorax;D_6__Unclassified;ASV_69ac1d771313a80e5448f89302d7d132	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__BIrii41;D_5__Unclassified;D_6__Unclassified;ASV_4f4fbabae4d079b5a2ff3abb24e7b10d	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Pedobacter;D_6__Unclassified;ASV_932a8b50376d3124bf15d62f36ea8dc1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Hymenobacteraceae;D_5__Hymenobacter;D_6__Unclassified;ASV_5db7579ba23a071cfca66936e01ec537	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Mesorhizobium;D_6__Unclassified;ASV_2833b2c5fdf0cfbfcf98372abc42e760	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae;D_5__Nocardioides;D_6__Unclassified;ASV_dec0b36f3138361e8176db48b7c98f6c	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;D_6__Unclassified;ASV_4513201e878768e9498737f42bec9c0b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__Bdellovibrio;D_6__Unclassified;ASV_1d74606b3a6e19d8f26ba2b15ddb241b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Unclassified;D_6__Unclassified;ASV_719a6f724bb746fb63f35c890b631420	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Oligoflexales;D_4__0319-6G20;D_5__Unclassified;D_6__Unclassified;ASV_c645658bcf2ad99ca72ac2c3712d1474	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae;D_5__Leifsonia;D_6__Unclassified;ASV_ae61622a0ff572e4eaf02dd54bed01bc	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Terrimonas;D_6__Unclassified;ASV_58bd590980f83bffa674c743bc29c692	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Unclassified;D_6__Unclassified;ASV_ed2741fa0449bdccc308d26cb18797c9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Paenibacillaceae;D_5__Paenibacillus;D_6__Paenibacillus amylolyticus;ASV_17f85835a71335ed1df0258875097060	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiales Incertae Sedis;D_5__Unclassified;D_6__Unclassified;ASV_db790e25400c4a3e15ab722db90b4a24	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__01D2Z36;D_5__Unclassified;D_6__Unclassified;ASV_da9acf359f274e0748b0974d54bcceea	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__Unclassified;D_6__Unclassified;ASV_dbce5f41e313d95dd7463bce12ce9cc8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Nakamurellaceae;D_5__Nakamurella;D_6__Unclassified;ASV_95ff46fdd1c23b82e77603d21d452561	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Haliangiaceae;D_5__Haliangium;D_6__Unclassified;ASV_a2731537db887e954175841bbf12eb99	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Massilia;D_6__Unclassified;ASV_85ead17598c286c75caf695a530a154c	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Haliangiaceae;D_5__Haliangium;D_6__Unclassified;ASV_70077a38179bfe3b8e2c4dfbb443d60d	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__Bdellovibrio;D_6__Unclassified;ASV_a93caca7eddc7a70341752a709ac4b4b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Phenylobacterium;D_6__Unclassified;ASV_7d25f68e4e78166ffa55cbc22ba69b2b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales;D_4__Blastocatellaceae;D_5__JGI 0001001-H03;D_6__Unclassified;ASV_575856fd56714fab7339de7389b31ee5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__Unclassified;D_6__Unclassified;ASV_05b0d156dc924c257fbd8614de3ff2c9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;D_3__Unclassified;D_4__Unclassified;D_5__Unclassified;D_6__Unclassified;ASV_21ddd4c84ce211ef676ee659a6b48798	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Unclassified;D_6__Unclassified;ASV_5169670c90dd1c149f3a1a5d69403425	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Dongiales;D_4__Dongiaceae;D_5__Dongia;D_6__Unclassified;ASV_5112782f884b13c3c09d6c269b884a72	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Duganella;D_6__Unclassified;ASV_4eb199ab8cf1ca5882611246cbaf32fb	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiales Incertae Sedis;D_5__Bauldia;D_6__Unclassified;ASV_9d6d39a7d6f4435f6c0f4f73f123ce1c	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Unclassified;D_6__Unclassified;ASV_ee8bd5fe9a2cae403ddf40c1b583d880	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Unclassified;D_4__Unclassified;D_5__Unclassified;D_6__Unclassified;ASV_259b042a53ce3a0a477b4571fca450a0	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__Unclassified;D_6__Unclassified;ASV_e60f133ef3b25998880ee3881846137c	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Devosiaceae;D_5__Devosia;D_6__Unclassified;ASV_0c8a0568562ceac19b7b7f3998a7e162	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Burkholderia-Caballeronia-Paraburkholderia;D_6__Unclassified;ASV_b3236c0faefe1b9d7a23096787e9c38b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Azospirillales;D_4__Azospirillaceae;D_5__Skermanella;D_6__Unclassified;ASV_6c2b065b924bef308d44093d23a301bc	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales;D_4__Streptomycetaceae;D_5__Streptomyces;D_6__Unclassified;ASV_c4917bce9c26d5efcdb750f4626b75d4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Hymenobacteraceae;D_5__Hymenobacter;D_6__Unclassified;ASV_d1ec480e392b4ea3a2fe8ab1da374ab5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Mucilaginibacter;D_6__Unclassified;ASV_85c952fafc9038429b9566a605d21cc6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__Pseudolabrys;D_6__Unclassified;ASV_5c420991cf0ea74179f1143628465a6d	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Intrasporangiaceae;D_5__Terrabacter;D_6__Unclassified;ASV_97aab65c810084c6db44ac853dc41afd	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptosporangiales;D_4__Streptosporangiaceae;D_5__Nonomuraea;D_6__Unclassified;ASV_8b2fd1fd9391fed5d0e6771eb01bc523	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Azospirillales;D_4__Azospirillaceae;D_5__Skermanella;D_6__Unclassified;ASV_26f109f8c19f770b713ca6368b600a4c	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales;D_4__Roseiflexaceae;D_5__Unclassified;D_6__Unclassified;ASV_a3fef7a668a91f857243d6b3678b7308	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__67-14;D_5__Unclassified;D_6__Unclassified;ASV_4ab037ac5ad77e90ba291c32b46c88c9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales;D_4__Roseiflexaceae;D_5__Unclassified;D_6__Unclassified;ASV_af61f5a312a6d2b53e113a926ea1082d	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Massilia;D_6__Unclassified;ASV_66071c1978c1374e2244cf6c4a54ce68	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__P3OB-42;D_5__Unclassified;D_6__Unclassified;ASV_ac26df5ecaf70cb77279f8a784c1f5ac	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Mycobacteriaceae;D_5__Mycobacterium;D_6__Unclassified;ASV_31ac4cb90c69c5078b8caa4519b1fdc4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales;D_4__Streptomycetaceae;D_5__Streptomyces;D_6__Unclassified;ASV_bd0e65cdb621f77b919c1f096255201c	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Niastella;D_6__Unclassified;ASV_06a6dc6f8f4e1ced080610ed37f4ca3b	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhodomicrobiaceae;D_5__Rhodomicrobium;D_6__Unclassified;ASV_47951ee9569f8894400b9c87f32804e7	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Haliangiaceae;D_5__Haliangium;D_6__Unclassified;ASV_c50ee07e15840c7e606c3c229791d668	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Ferruginibacter;D_6__Unclassified;ASV_b1ba17fc46ce0a977b6cad1f126fd834	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Luteolibacter;D_6__Unclassified;ASV_78c8e70c33cd15052b3255aa5444bd22	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Xanthomonadales;D_4__Xanthomonadaceae;D_5__Lysobacter;D_6__Unclassified;ASV_946c0af3752b21b21ea650919fd605d9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;D_6__Unclassified;ASV_048786cf20e2b2068dfa836022267e34	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Caulobacter;D_6__Unclassified;ASV_4faba365a33c732b107aaf7664eac955	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Nakamurellaceae;D_5__Nakamurella;D_6__Unclassified;ASV_fb9bb96594b71af1d649f649061d882f	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales;D_4__Streptomycetaceae;D_5__Streptomyces;D_6__Unclassified;ASV_b068ccda99564d02b7ddd3a7f803166f	NA	NA	NA	NA	NA	NA	NA
