	e100	e102	e103	e104	e105	e106	e107	e108	e109	e110	e112	e80	e82	e87	e88	e89	e90	e91	e92	e93	e94	e97	e98	e99
e112	0.876971977098	0.8392487834175001	0.9779675257567501	0.3781467529625	0.33193558868025	0.298252092277	0.30641768795825	0.27304659265474995	0.34814826698150003	0.272067436184	0.0	0.8149365296065	0.83606974069225	0.9588339625014999	0.6817724545652499	0.8224363972709999	0.785865968478	0.6688992474287501	0.89177186162575	0.88804161698	0.9383305298712499	0.88395447488975	0.93795174835275	0.81141263794525
e80	0.779229815991	0.8117450933605	0.39738186774375006	0.689219948483	0.7498816036347501	0.7807618381375	0.86118161287025	0.77276700546775	0.7122621379605	0.773275127284	0.8149365296065	0.0	0.35295090953525	0.245912060585	0.38733119215475004	0.25549014771549994	0.31071365972849996	0.27062586858325	0.20649881636825004	0.24015537748550003	0.27496332655375	0.17825565505225005	0.9996460967307501	0.85749136855125
e82	0.8153227293152499	0.69493564788075	0.5783396878235	0.7534630855792499	0.8253755183705	0.84079523368425	0.895244308965	0.8281778458134998	0.75498920581925	0.81306728522175	0.83606974069225	0.35295090953525	0.0	0.46940596776325	0.5556433291330001	0.31227578986075	0.30520759621325	0.430808922491	0.387337757279	0.35259354852475006	0.448997156324	0.426086245312	0.886167236381	0.702647242864
e87	0.885388058063	0.9083583718399999	0.27893645508225	0.892634042408	0.9394614927042502	0.9715394136095	0.98061201444225	0.96025494495325	0.9048957936145	0.9076836371855	0.9588339625014999	0.245912060585	0.46940596776325	0.0	0.56410078296475	0.3390903544575	0.4793795680230001	0.36146203826074996	0.15268144633475	0.18738252366799996	0.13934067141124998	0.16308147674324996	1.0973674191847502	0.9871689249717499
e88	0.71183013864425	0.72660369802725	0.5534927433124999	0.49171035223675	0.5856543072060001	0.60717423532475	0.6981345461449999	0.597498613474	0.51385861039175	0.63196972170475	0.6817724545652499	0.38733119215475004	0.5556433291330001	0.56410078296475	0.0	0.51301001023325	0.46957615792175	0.3288059028535001	0.5105530503755	0.5101060834692501	0.5493729741565	0.49365225700099996	0.9562753715194999	0.7453973086619998
e89	0.7845955452204999	0.7784051889740001	0.5008597737852499	0.7499199513154999	0.82720464682375	0.8561371970685001	0.8948209729952501	0.8265431009897501	0.7680475728655001	0.805816891163	0.8224363972709999	0.25549014771549994	0.31227578986075	0.3390903544575	0.51301001023325	0.0	0.306638226768	0.3710374552187501	0.30017716632825	0.327732136598	0.3828938797652501	0.3126348377597501	0.9679726008687499	0.8115299737622501
e90	0.8089921250174998	0.7555301739615	0.59540492427475	0.628479281057	0.71663942629025	0.6971709578375	0.84768372099925	0.7406167810537501	0.63755341488	0.767414473279	0.785865968478	0.31071365972849996	0.30520759621325	0.4793795680230001	0.46957615792175	0.306638226768	0.0	0.38632990711424997	0.39774082409625	0.408586445952	0.46159181028975005	0.41441078433075007	0.93823341004175	0.8150345946862501
e91	0.8239144215997499	0.8590294887657501	0.4614036113415	0.5796993087762501	0.633030731958	0.6852614259087499	0.7041743314265	0.6970600103360001	0.58228463478625	0.60898805978875	0.6688992474287501	0.27062586858325	0.430808922491	0.36146203826074996	0.3288059028535001	0.3710374552187501	0.38632990711424997	0.0	0.314990722173	0.32412737741025	0.3390866141325	0.28145867126849994	1.0355202844695	0.882934263208
e92	0.8322976167987499	0.86776598672475	0.29970352933350003	0.81774242337125	0.877598107132	0.91551059727875	0.921006533952	0.8896551872480001	0.83156151876825	0.8416556040817499	0.89177186162575	0.20649881636825004	0.387337757279	0.15268144633475	0.5105530503755	0.30017716632825	0.39774082409625	0.314990722173	0.0	0.09666285992024998	0.14234256586650001	0.104403052863	1.064638104345	0.9246985795470001
e93	0.812445100877	0.8441838237935001	0.29984300812325	0.8278585536309999	0.8804097111082501	0.902815891151	0.9212814844282501	0.8907992393072501	0.8100027781150001	0.8550227667220001	0.88804161698	0.24015537748550003	0.35259354852475006	0.18738252366799996	0.5101060834692501	0.327732136598	0.408586445952	0.32412737741025	0.09666285992024998	0.0	0.13357789646524998	0.15059067965625	1.04450445328725	0.8870116483492501
e94	0.8585894792162501	0.90195517206325	0.2609362066625	0.87869902081925	0.910178180986	0.9511945507092501	0.9633385981779998	0.9353090453545001	0.87300936863225	0.8982085043817499	0.9383305298712499	0.27496332655375	0.448997156324	0.13934067141124998	0.5493729741565	0.3828938797652501	0.46159181028975005	0.3390866141325	0.14234256586650001	0.13357789646524998	0.0	0.15663574793200002	1.0859409761935	0.966807529048
e97	0.81141719789325	0.8519229567337501	0.3137949080885	0.81319331520175	0.8638684098370001	0.9004493252432499	0.912902848465	0.877898374369	0.82747540751925	0.83020806127825	0.88395447488975	0.17825565505225005	0.426086245312	0.16308147674324996	0.49365225700099996	0.3126348377597501	0.41441078433075007	0.28145867126849994	0.104403052863	0.15059067965625	0.15663574793200002	0.0	1.0548804212145	0.9199527339935001
e98	0.97959510309925	0.49009619085975	1.0765975275455	0.89695344056725	0.950608560116	0.8944943049772499	1.0048271293875	0.9171848664669999	0.9087861383147501	0.97758085479575	0.93795174835275	0.9996460967307501	0.886167236381	1.0973674191847502	0.9562753715194999	0.9679726008687499	0.93823341004175	1.0355202844695	1.064638104345	1.04450445328725	1.0859409761935	1.0548804212145	0.0	0.876797529953
e99	0.57115568182625	0.57442660646875	0.9487474303085	0.74494351275575	0.8177442485135	0.8242510617002499	0.882735505557	0.8228708057715001	0.72073938754675	0.82728260999525	0.81141263794525	0.85749136855125	0.702647242864	0.9871689249717499	0.7453973086619998	0.8115299737622501	0.8150345946862501	0.882934263208	0.9246985795470001	0.8870116483492501	0.966807529048	0.9199527339935001	0.876797529953	0.0
